month,escola,slug,tutores,second_tutor,docs_fiscais (15_dias),mensagens (7_dias),atividades (7_dias),relatorios_diarios (7_dias),avaliacoes (7_dias),menus (7_dias),eventos (15_dias)
Mar,Crescer no Campo - Multi-Serviços Lda.,https://crescernocampo-multiservicos.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,A Colmeia das Abelhinhas,https://colmeiadasabelhinhas.educabiz.com,78.0,2.0,165.0,565.0,11.0,273.0,2298.0,0.0,0.0
Mar,Fundação Arcelina Victor dos Santos,https://favs.educabiz.com,42.0,13.0,0.0,48.0,0.0,128.0,855.0,0.0,0.0
Mar,Creche Tempos de Infância,https://scmatemposinfancia.educabiz.com,64.0,5.0,0.0,173.0,2.0,127.0,902.0,0.0,0.0
Mar,Centro Infantil Quinta dos Pardais,https://scmaqtpardais.educabiz.com,158.0,28.0,0.0,385.0,10.0,440.0,3740.0,0.0,2.0
Mar,Os Beicinhas,https://osbeicinhas.educabiz.com,73.0,7.0,453.0,693.0,11.0,154.0,1077.0,0.0,0.0
Mar,Creche BebéCresce,https://crechebebecresce.educabiz.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mar,Centro de Apoio Social de Carvoeiro,https://cascarvoeiro.educabiz.com,104.0,0.0,0.0,336.0,2.0,364.0,2784.0,6.0,0.0
Mar,ASAS Ponte do Rol,https://asasponterol.educabiz.com,36.0,0.0,25.0,87.0,0.0,156.0,1128.0,0.0,0.0
Mar,CCR CCR - JI/EB/CAE/PAV,https://ccrccrji.educabiz.com,198.0,18.0,457.0,1054.0,0.0,0.0,0.0,0.0,0.0
Mar,CAJ João Paulo II,https://caj.educabiz.com,98.0,7.0,0.0,451.0,0.0,290.0,2087.0,0.0,0.0
Mar,Fundacão Santa Margarida Arrabal,https://fundacaosantamargarida.educabiz.com,152.0,18.0,0.0,245.0,0.0,513.0,3247.0,4.0,0.0
Mar,Colinho da Rute,https://colinhodarute.educabiz.com,113.0,10.0,0.0,736.0,3.0,269.0,1239.0,0.0,1.0
Mar,Externato Calimero,https://externatocalimero.educabiz.com,87.0,4.0,85.0,296.0,9.0,325.0,1923.0,4.0,0.0
Mar,O Caminhar,https://ocaminhar.educabiz.com,90.0,37.0,94.0,531.0,8.0,223.0,1206.0,0.0,0.0
Mar,CSP S. Miguel - Caldas Vizela,https://cspsmiguel.educabiz.com,39.0,0.0,0.0,310.0,11.0,149.0,1072.0,4.0,0.0
Mar,Escola Global,https://escolaglobal.educabiz.com,246.0,85.0,0.0,844.0,21.0,653.0,4210.0,0.0,0.0
Mar,CSP S. Martinho de Brufe,https://cspbrufe.educabiz.com,51.0,7.0,0.0,40.0,6.0,146.0,1202.0,0.0,0.0
Mar,JARDIMCOOPE / SOLINORTE,https://nortecoope.educabiz.com,411.0,33.0,0.0,2104.0,2.0,1278.0,8687.0,0.0,0.0
Mar,Infantário Cooppofa,https://cooppofa.educabiz.com,101.0,25.0,0.0,775.0,4.0,355.0,3621.0,0.0,0.0
Mar,Aquarium Coimbra,https://aquariumcoimbra.educabiz.com,137.0,73.0,197.0,988.0,0.0,559.0,3263.0,0.0,4.0
Mar,CP São João Baptista de Canelas,https://centroparoquialsjbc.educabiz.com,66.0,7.0,86.0,923.0,3.0,256.0,2186.0,0.0,2.0
Mar,Centro Infanto Juvenil A. Freire Gomes,https://asmf.educabiz.com,76.0,0.0,0.0,29.0,0.0,124.0,1103.0,0.0,0.0
Mar,Centro Social Padres Redentoristas,https://cspadresredentoristas.educabiz.com,624.0,79.0,1060.0,1960.0,81.0,1092.0,9358.0,0.0,6.0
Mar,Centro Comunitário do Laranjeiro Feijó,https://cclaranjeirofeijo.educabiz.com,132.0,7.0,0.0,389.0,0.0,77.0,628.0,0.0,0.0
Mar,Fundação Padre Luís,https://fundacaopadreluis.educabiz.com,317.0,74.0,121.0,2080.0,0.0,209.0,1362.0,0.0,0.0
Mar,OUSAM,https://ousam.educabiz.com,109.0,12.0,0.0,607.0,17.0,485.0,3584.0,0.0,0.0
Mar,START.SOCIAL,https://startsocial.educabiz.com,121.0,9.0,0.0,143.0,0.0,355.0,2694.0,0.0,0.0
